src_ip_numeric,src_port,dst_port,proto,flowDuration,label
3232268399,50983,49837,6,0.159280061721802,0
3232266584,65300,3128,6,257.266610145569,1
3232266831,53426,3128,6,13.9988729953766,1
3232266832,50834,53,17,0.0619480609893799,0
3232266781,50145,3128,6,315.670310020447,1
3232266861,50638,3128,6,46.1914658546448,1
3232266832,28769,53,17,0.0006568431854248,0
3232268404,62766,3128,6,0.0004291534423828,1
3232266794,2668,3128,6,36.629693031311,1
3232266525,52070,53,17,0.0004758834838867,0
3232266831,52639,3128,6,0.782464027404785,1
3232268087,57379,53,17,0.0006611347198486,0
3232268040,62878,80,6,6.88734698295593,0
3232268436,53993,443,6,5.17889499664307,0
3232267736,50404,53,17,0.0005760192871093,0
3232266795,50386,3128,6,180.574262857437,1
3232266573,63272,53,17,0.0006911754608154,0
3232266563,64432,3128,6,1.29781103134155,1
3232266893,65275,3128,6,18.9643559455872,1
3232268313,55092,53,17,0.0007622241973876,0
3232268295,54869,53,17,0.0003960132598876,0
3232266781,50308,3128,6,2.71291518211365,1
3232268143,61586,3128,6,52.8649470806122,1
3232267548,50298,443,6,6.05505990982056,0
3232267601,63644,3128,6,0.0048539638519287,1
3232268295,49924,443,6,4.0054321289e-05,0
3232266881,59146,3128,6,541.421366214752,1
3232266810,54173,2222,6,0.0004029273986816,0
3232268396,51643,3128,6,9.02827191352844,1
3232266816,50127,3128,6,240.335564851761,1
3232266776,2304,3128,6,0.176789045333862,1
3232266756,50222,3128,6,9.6538360118866,1
3232266806,53438,2222,6,0.0002338886260986,0
3232266537,61670,443,6,2.71381807327271,0
3232266570,54293,443,6,240.505264043808,0
3232266813,64719,53,17,0.13927698135376,0
3232268101,50032,3128,6,9.90776610374451,1
3232266806,59619,3128,6,0.737569093704224,1
3232266771,50233,3128,6,60.0491070747375,1
3232266578,64348,443,6,0.466349840164185,0
3232266800,49941,3128,6,1.27291512489319,1
3232268349,58946,46305,6,0.129071950912476,0
3232266756,52948,3128,6,0.989028930664062,1
3232267594,62628,51479,6,8.99909400939941,0
3232266815,49169,3128,6,0.514546155929565,1
3232266795,50810,3128,6,11.7241108417511,1
3232267584,58678,53,17,0.0349149703979492,0
3232268327,51340,443,6,25.934534072876,0
3232266877,49353,3128,6,6.3989520072937,1
3232266846,49192,443,6,13.6443481445312,0
3232266776,1680,3128,6,240.337018013,1
3232267539,63581,53,17,0.0009818077087402,0
3232268076,57001,443,6,297.861027002335,0
3232266826,39789,443,6,9.29832458496e-05,0
3232266535,49770,443,6,1.24346494674683,0
3232267564,54835,3128,6,0.420160055160522,1
3232266798,52686,53,17,0.0004529953002929,0
3232266544,50472,53,17,0.124373912811279,0
3232268375,6881,29952,17,901.955018997192,0
3232268393,23803,53,17,0.0004231929779052,0
3232267537,56395,6881,6,0.194228172302246,0
3232266794,1868,3128,6,585.433843851089,1
3232266584,53669,3128,6,149.977334022522,1
3232267601,58291,3128,6,0.337050914764404,1
3232266615,55790,53,17,0.000680923461914,0
3232268384,59296,443,6,12.7093889713287,0
3232266761,51062,3128,6,407.108957052231,1
3232266505,49763,443,6,3.89972805976868,0
3232266892,51418,3128,6,0.294962882995605,1
3232266804,55213,80,6,0.0,0
3232266795,50309,3128,6,104.993871927261,1
3232266824,50766,3128,6,0.422611951828003,1
3232268320,49695,443,6,137.615173101425,0
3232267590,46246,53,17,0.0005009174346923,0
3232266816,49218,3128,6,60.0495297908783,1
3232266510,54403,443,6,170.823573112488,0
3232268311,55309,53,17,0.0002970695495605,0
3232267564,59932,53,17,8.00021195411682,0
3232268334,53809,443,6,91.0172619819641,0
3232268468,62338,3128,6,30.2055349349976,1
3232268291,33225,443,6,0.22088885307312,0
3232268291,59293,443,6,0.970004081726074,0
3232266776,1193,3128,6,104.404983997345,1
